Title,Author,Genre,Publisher,Year of Publication,ISBN,Description,Language,Image
A Light in the Attic,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\A_Light_in_the_Attic.jpg
Tipping the Velvet,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Tipping_the_Velvet.jpg
Soumission,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Soumission.jpg
Sharp Objects,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Sharp_Objects.jpg
Sapiens: A Brief History of Humankind,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Sapiens__A_Brief_History_of_Humankind.jpg
The Requiem Red,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Requiem_Red.jpg
The Dirty Little Secrets of Getting Your Dream Job,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Dirty_Little_Secrets_of_Getting_Your_Dream_Job.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Coming_Woman__A_Novel_Based_on_the_Life_of_the_Infamous_Feminist__Victoria_Woodhull.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Boys_in_the_Boat__Nine_Americans_and_Their_Epic_Quest_for_Gold_at_the_1936_Berlin_Olympics.jpg
The Black Maria,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Black_Maria.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Starving_Hearts__Triangular_Trade_Trilogy___1_.jpg
Shakespeare's Sonnets,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Shakespeare_s_Sonnets.jpg
Set Me Free,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Set_Me_Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Scott_Pilgrim_s_Precious_Little_Life__Scott_Pilgrim__1_.jpg
Rip it Up and Start Again,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Rip_it_Up_and_Start_Again.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Our_Band_Could_Be_Your_Life__Scenes_from_the_American_Indie_Underground__1981_1991.jpg
Olio,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Mesaerion__The_Best_Science_Fiction_Stories_1800_1849.jpg
Libertarianism for Beginners,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Libertarianism_for_Beginners.jpg
It's Only the Himalayas,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\It_s_Only_the_Himalayas.jpg
In Her Wake,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\In_Her_Wake.jpg
How Music Works,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\How_Music_Works.jpg
